subject_id,subject_name,subject_category,grade_level,education_type,subject_description,total_students_enrolled_subject,total_tutors_offering_subject,last_updated
SUB01060,French,Language & Literature,10,Vocational & Technical (TVTC),French for Grade 10 in the Vocational & Technical (TVTC) curriculum.,370,27,2025-11-16
SUB01061,Spanish,Language & Literature,10,Vocational & Technical (TVTC),Spanish for Grade 10 in the Vocational & Technical (TVTC) curriculum.,338,39,2025-11-16
SUB01062,German,Language & Literature,10,Vocational & Technical (TVTC),German for Grade 10 in the Vocational & Technical (TVTC) curriculum.,172,77,2025-11-16
SUB01063,Urdu,Language & Literature,10,Vocational & Technical (TVTC),Urdu for Grade 10 in the Vocational & Technical (TVTC) curriculum.,482,63,2025-11-16
SUB01064,Hindi,Language & Literature,10,Vocational & Technical (TVTC),Hindi for Grade 10 in the Vocational & Technical (TVTC) curriculum.,491,50,2025-11-16
SUB01065,Literature,Language & Literature,10,Vocational & Technical (TVTC),Literature for Grade 10 in the Vocational & Technical (TVTC) curriculum.,414,29,2025-11-16
SUB01066,Creative Writing,Language & Literature,10,Vocational & Technical (TVTC),Creative Writing for Grade 10 in the Vocational & Technical (TVTC) curriculum.,522,9,2025-11-16
SUB01067,Translation & Linguistics,Language & Literature,10,Vocational & Technical (TVTC),Translation & Linguistics for Grade 10 in the Vocational & Technical (TVTC) curriculum.,599,11,2025-11-16
SUB01068,Islamic Arabic,Language & Literature,10,Vocational & Technical (TVTC),Islamic Arabic for Grade 10 in the Vocational & Technical (TVTC) curriculum.,336,39,2025-11-16
SUB01069,History,Humanities & Social Sciences,10,Vocational & Technical (TVTC),History for Grade 10 in the Vocational & Technical (TVTC) curriculum.,327,41,2025-11-16
SUB01070,Geography,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Geography for Grade 10 in the Vocational & Technical (TVTC) curriculum.,490,13,2025-11-16
SUB01071,Economics,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Economics for Grade 10 in the Vocational & Technical (TVTC) curriculum.,592,74,2025-11-16
SUB01072,Civics,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Civics for Grade 10 in the Vocational & Technical (TVTC) curriculum.,188,58,2025-11-16
SUB01073,Political Science,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Political Science for Grade 10 in the Vocational & Technical (TVTC) curriculum.,509,34,2025-11-16
SUB01074,Sociology,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Sociology for Grade 10 in the Vocational & Technical (TVTC) curriculum.,389,39,2025-11-16
SUB01075,Psychology,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Psychology for Grade 10 in the Vocational & Technical (TVTC) curriculum.,277,36,2025-11-16
SUB01076,Philosophy,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Philosophy for Grade 10 in the Vocational & Technical (TVTC) curriculum.,407,45,2025-11-16
SUB01077,Law,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Law for Grade 10 in the Vocational & Technical (TVTC) curriculum.,418,79,2025-11-16
SUB01078,Religious Studies,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Religious Studies for Grade 10 in the Vocational & Technical (TVTC) curriculum.,110,51,2025-11-16
SUB01079,Islamic Studies,Humanities & Social Sciences,10,Vocational & Technical (TVTC),Islamic Studies for Grade 10 in the Vocational & Technical (TVTC) curriculum.,325,35,2025-11-16
SUB01080,Art,Arts & Design,10,Vocational & Technical (TVTC),Art for Grade 10 in the Vocational & Technical (TVTC) curriculum.,494,55,2025-11-16
SUB01081,Music,Arts & Design,10,Vocational & Technical (TVTC),Music for Grade 10 in the Vocational & Technical (TVTC) curriculum.,211,37,2025-11-16
SUB01082,Drama,Arts & Design,10,Vocational & Technical (TVTC),Drama for Grade 10 in the Vocational & Technical (TVTC) curriculum.,247,28,2025-11-16
SUB01083,Film Studies,Arts & Design,10,Vocational & Technical (TVTC),Film Studies for Grade 10 in the Vocational & Technical (TVTC) curriculum.,208,38,2025-11-16
SUB01084,Design & Technology,Arts & Design,10,Vocational & Technical (TVTC),Design & Technology for Grade 10 in the Vocational & Technical (TVTC) curriculum.,91,11,2025-11-16
SUB01085,Architecture,Arts & Design,10,Vocational & Technical (TVTC),Architecture for Grade 10 in the Vocational & Technical (TVTC) curriculum.,66,80,2025-11-16
SUB01086,Calligraphy,Arts & Design,10,Vocational & Technical (TVTC),Calligraphy for Grade 10 in the Vocational & Technical (TVTC) curriculum.,341,41,2025-11-16
SUB01087,Fashion Design,Arts & Design,10,Vocational & Technical (TVTC),Fashion Design for Grade 10 in the Vocational & Technical (TVTC) curriculum.,323,26,2025-11-16
SUB01088,Home Economics,Arts & Design,10,Vocational & Technical (TVTC),Home Economics for Grade 10 in the Vocational & Technical (TVTC) curriculum.,540,8,2025-11-16
SUB01089,Physical Education,Physical & Health,10,Vocational & Technical (TVTC),Physical Education for Grade 10 in the Vocational & Technical (TVTC) curriculum.,57,5,2025-11-16
SUB01090,Health Education,Physical & Health,10,Vocational & Technical (TVTC),Health Education for Grade 10 in the Vocational & Technical (TVTC) curriculum.,226,74,2025-11-16
SUB01091,Nutrition & Fitness,Physical & Health,10,Vocational & Technical (TVTC),Nutrition & Fitness for Grade 10 in the Vocational & Technical (TVTC) curriculum.,168,65,2025-11-16
SUB01092,Sports Science,Physical & Health,10,Vocational & Technical (TVTC),Sports Science for Grade 10 in the Vocational & Technical (TVTC) curriculum.,330,32,2025-11-16
SUB01093,First Aid & Public Safety,Physical & Health,10,Vocational & Technical (TVTC),First Aid & Public Safety for Grade 10 in the Vocational & Technical (TVTC) curriculum.,113,17,2025-11-16
SUB01094,Automotive Mechanics,Vocational & Technical,10,Vocational & Technical (TVTC),Automotive Mechanics for Grade 10 in the Vocational & Technical (TVTC) curriculum.,421,65,2025-11-16
SUB01095,Electrical Studies,Vocational & Technical,10,Vocational & Technical (TVTC),Electrical Studies for Grade 10 in the Vocational & Technical (TVTC) curriculum.,253,49,2025-11-16
SUB01096,Carpentry,Vocational & Technical,10,Vocational & Technical (TVTC),Carpentry for Grade 10 in the Vocational & Technical (TVTC) curriculum.,63,29,2025-11-16
SUB01097,Plumbing,Vocational & Technical,10,Vocational & Technical (TVTC),Plumbing for Grade 10 in the Vocational & Technical (TVTC) curriculum.,501,12,2025-11-16
SUB01098,Hospitality,Vocational & Technical,10,Vocational & Technical (TVTC),Hospitality for Grade 10 in the Vocational & Technical (TVTC) curriculum.,59,53,2025-11-16
SUB01099,Entrepreneurship,Vocational & Technical,10,Vocational & Technical (TVTC),Entrepreneurship for Grade 10 in the Vocational & Technical (TVTC) curriculum.,221,10,2025-11-16
SUB01100,Marketing,Vocational & Technical,10,Vocational & Technical (TVTC),Marketing for Grade 10 in the Vocational & Technical (TVTC) curriculum.,465,24,2025-11-16
SUB01101,Accounting,Vocational & Technical,10,Vocational & Technical (TVTC),Accounting for Grade 10 in the Vocational & Technical (TVTC) curriculum.,516,11,2025-11-16
SUB01102,Agriculture,Vocational & Technical,10,Vocational & Technical (TVTC),Agriculture for Grade 10 in the Vocational & Technical (TVTC) curriculum.,183,14,2025-11-16
SUB01103,Mathematics,STEM,11,Vocational & Technical (TVTC),Mathematics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,491,46,2025-11-16
SUB01104,Advanced Mathematics,STEM,11,Vocational & Technical (TVTC),Advanced Mathematics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,327,74,2025-11-16
SUB01105,Physics,STEM,11,Vocational & Technical (TVTC),Physics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,55,46,2025-11-16
SUB01106,Chemistry,STEM,11,Vocational & Technical (TVTC),Chemistry for Grade 11 in the Vocational & Technical (TVTC) curriculum.,467,17,2025-11-16
SUB01107,Biology,STEM,11,Vocational & Technical (TVTC),Biology for Grade 11 in the Vocational & Technical (TVTC) curriculum.,265,42,2025-11-16
SUB01108,Computer Science,STEM,11,Vocational & Technical (TVTC),Computer Science for Grade 11 in the Vocational & Technical (TVTC) curriculum.,564,6,2025-11-16
SUB01109,Statistics,STEM,11,Vocational & Technical (TVTC),Statistics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,147,34,2025-11-16
SUB01110,Robotics,STEM,11,Vocational & Technical (TVTC),Robotics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,195,67,2025-11-16
SUB01111,Engineering Fundamentals,STEM,11,Vocational & Technical (TVTC),Engineering Fundamentals for Grade 11 in the Vocational & Technical (TVTC) curriculum.,262,14,2025-11-16
SUB01112,Environmental Science,STEM,11,Vocational & Technical (TVTC),Environmental Science for Grade 11 in the Vocational & Technical (TVTC) curriculum.,292,16,2025-11-16
SUB01113,Earth Science,STEM,11,Vocational & Technical (TVTC),Earth Science for Grade 11 in the Vocational & Technical (TVTC) curriculum.,103,23,2025-11-16
SUB01114,Agriculture Technology,STEM,11,Vocational & Technical (TVTC),Agriculture Technology for Grade 11 in the Vocational & Technical (TVTC) curriculum.,490,62,2025-11-16
SUB01115,Technical Drawing,STEM,11,Vocational & Technical (TVTC),Technical Drawing for Grade 11 in the Vocational & Technical (TVTC) curriculum.,72,35,2025-11-16
SUB01116,Arabic,Language & Literature,11,Vocational & Technical (TVTC),Arabic for Grade 11 in the Vocational & Technical (TVTC) curriculum.,567,42,2025-11-16
SUB01117,English,Language & Literature,11,Vocational & Technical (TVTC),English for Grade 11 in the Vocational & Technical (TVTC) curriculum.,450,34,2025-11-16
SUB01118,French,Language & Literature,11,Vocational & Technical (TVTC),French for Grade 11 in the Vocational & Technical (TVTC) curriculum.,323,13,2025-11-16
SUB01119,Spanish,Language & Literature,11,Vocational & Technical (TVTC),Spanish for Grade 11 in the Vocational & Technical (TVTC) curriculum.,578,7,2025-11-16
SUB01120,German,Language & Literature,11,Vocational & Technical (TVTC),German for Grade 11 in the Vocational & Technical (TVTC) curriculum.,266,59,2025-11-16
SUB01121,Urdu,Language & Literature,11,Vocational & Technical (TVTC),Urdu for Grade 11 in the Vocational & Technical (TVTC) curriculum.,388,42,2025-11-16
SUB01122,Hindi,Language & Literature,11,Vocational & Technical (TVTC),Hindi for Grade 11 in the Vocational & Technical (TVTC) curriculum.,75,55,2025-11-16
SUB01123,Literature,Language & Literature,11,Vocational & Technical (TVTC),Literature for Grade 11 in the Vocational & Technical (TVTC) curriculum.,138,51,2025-11-16
SUB01124,Creative Writing,Language & Literature,11,Vocational & Technical (TVTC),Creative Writing for Grade 11 in the Vocational & Technical (TVTC) curriculum.,128,48,2025-11-16
SUB01125,Translation & Linguistics,Language & Literature,11,Vocational & Technical (TVTC),Translation & Linguistics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,406,35,2025-11-16
SUB01126,Islamic Arabic,Language & Literature,11,Vocational & Technical (TVTC),Islamic Arabic for Grade 11 in the Vocational & Technical (TVTC) curriculum.,96,68,2025-11-16
SUB01127,History,Humanities & Social Sciences,11,Vocational & Technical (TVTC),History for Grade 11 in the Vocational & Technical (TVTC) curriculum.,582,25,2025-11-16
SUB01128,Geography,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Geography for Grade 11 in the Vocational & Technical (TVTC) curriculum.,413,19,2025-11-16
SUB01129,Economics,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Economics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,426,50,2025-11-16
SUB01130,Civics,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Civics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,125,31,2025-11-16
SUB01131,Political Science,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Political Science for Grade 11 in the Vocational & Technical (TVTC) curriculum.,478,67,2025-11-16
SUB01132,Sociology,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Sociology for Grade 11 in the Vocational & Technical (TVTC) curriculum.,585,20,2025-11-16
SUB01133,Psychology,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Psychology for Grade 11 in the Vocational & Technical (TVTC) curriculum.,258,77,2025-11-16
SUB01134,Philosophy,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Philosophy for Grade 11 in the Vocational & Technical (TVTC) curriculum.,492,58,2025-11-16
SUB01135,Law,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Law for Grade 11 in the Vocational & Technical (TVTC) curriculum.,559,34,2025-11-16
SUB01136,Religious Studies,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Religious Studies for Grade 11 in the Vocational & Technical (TVTC) curriculum.,398,38,2025-11-16
SUB01137,Islamic Studies,Humanities & Social Sciences,11,Vocational & Technical (TVTC),Islamic Studies for Grade 11 in the Vocational & Technical (TVTC) curriculum.,566,24,2025-11-16
SUB01138,Art,Arts & Design,11,Vocational & Technical (TVTC),Art for Grade 11 in the Vocational & Technical (TVTC) curriculum.,142,42,2025-11-16
SUB01139,Music,Arts & Design,11,Vocational & Technical (TVTC),Music for Grade 11 in the Vocational & Technical (TVTC) curriculum.,243,70,2025-11-16
SUB01140,Drama,Arts & Design,11,Vocational & Technical (TVTC),Drama for Grade 11 in the Vocational & Technical (TVTC) curriculum.,328,53,2025-11-16
SUB01141,Film Studies,Arts & Design,11,Vocational & Technical (TVTC),Film Studies for Grade 11 in the Vocational & Technical (TVTC) curriculum.,167,24,2025-11-16
SUB01142,Design & Technology,Arts & Design,11,Vocational & Technical (TVTC),Design & Technology for Grade 11 in the Vocational & Technical (TVTC) curriculum.,69,3,2025-11-16
SUB01143,Architecture,Arts & Design,11,Vocational & Technical (TVTC),Architecture for Grade 11 in the Vocational & Technical (TVTC) curriculum.,107,32,2025-11-16
SUB01144,Calligraphy,Arts & Design,11,Vocational & Technical (TVTC),Calligraphy for Grade 11 in the Vocational & Technical (TVTC) curriculum.,435,53,2025-11-16
SUB01145,Fashion Design,Arts & Design,11,Vocational & Technical (TVTC),Fashion Design for Grade 11 in the Vocational & Technical (TVTC) curriculum.,151,76,2025-11-16
SUB01146,Home Economics,Arts & Design,11,Vocational & Technical (TVTC),Home Economics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,447,41,2025-11-16
SUB01147,Physical Education,Physical & Health,11,Vocational & Technical (TVTC),Physical Education for Grade 11 in the Vocational & Technical (TVTC) curriculum.,160,50,2025-11-16
SUB01148,Health Education,Physical & Health,11,Vocational & Technical (TVTC),Health Education for Grade 11 in the Vocational & Technical (TVTC) curriculum.,441,58,2025-11-16
SUB01149,Nutrition & Fitness,Physical & Health,11,Vocational & Technical (TVTC),Nutrition & Fitness for Grade 11 in the Vocational & Technical (TVTC) curriculum.,56,71,2025-11-16
SUB01150,Sports Science,Physical & Health,11,Vocational & Technical (TVTC),Sports Science for Grade 11 in the Vocational & Technical (TVTC) curriculum.,561,57,2025-11-16
SUB01151,First Aid & Public Safety,Physical & Health,11,Vocational & Technical (TVTC),First Aid & Public Safety for Grade 11 in the Vocational & Technical (TVTC) curriculum.,123,68,2025-11-16
SUB01152,Automotive Mechanics,Vocational & Technical,11,Vocational & Technical (TVTC),Automotive Mechanics for Grade 11 in the Vocational & Technical (TVTC) curriculum.,480,15,2025-11-16
SUB01153,Electrical Studies,Vocational & Technical,11,Vocational & Technical (TVTC),Electrical Studies for Grade 11 in the Vocational & Technical (TVTC) curriculum.,366,9,2025-11-16
SUB01154,Carpentry,Vocational & Technical,11,Vocational & Technical (TVTC),Carpentry for Grade 11 in the Vocational & Technical (TVTC) curriculum.,320,43,2025-11-16
SUB01155,Plumbing,Vocational & Technical,11,Vocational & Technical (TVTC),Plumbing for Grade 11 in the Vocational & Technical (TVTC) curriculum.,442,80,2025-11-16
SUB01156,Hospitality,Vocational & Technical,11,Vocational & Technical (TVTC),Hospitality for Grade 11 in the Vocational & Technical (TVTC) curriculum.,488,34,2025-11-16
SUB01157,Entrepreneurship,Vocational & Technical,11,Vocational & Technical (TVTC),Entrepreneurship for Grade 11 in the Vocational & Technical (TVTC) curriculum.,306,44,2025-11-16
SUB01158,Marketing,Vocational & Technical,11,Vocational & Technical (TVTC),Marketing for Grade 11 in the Vocational & Technical (TVTC) curriculum.,59,61,2025-11-16
SUB01159,Accounting,Vocational & Technical,11,Vocational & Technical (TVTC),Accounting for Grade 11 in the Vocational & Technical (TVTC) curriculum.,258,6,2025-11-16
SUB01160,Agriculture,Vocational & Technical,11,Vocational & Technical (TVTC),Agriculture for Grade 11 in the Vocational & Technical (TVTC) curriculum.,534,19,2025-11-16
SUB01161,Mathematics,STEM,12,Vocational & Technical (TVTC),Mathematics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,118,36,2025-11-16
SUB01162,Advanced Mathematics,STEM,12,Vocational & Technical (TVTC),Advanced Mathematics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,514,28,2025-11-16
SUB01163,Physics,STEM,12,Vocational & Technical (TVTC),Physics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,417,32,2025-11-16
SUB01164,Chemistry,STEM,12,Vocational & Technical (TVTC),Chemistry for Grade 12 in the Vocational & Technical (TVTC) curriculum.,306,6,2025-11-16
SUB01165,Biology,STEM,12,Vocational & Technical (TVTC),Biology for Grade 12 in the Vocational & Technical (TVTC) curriculum.,430,30,2025-11-16
SUB01166,Computer Science,STEM,12,Vocational & Technical (TVTC),Computer Science for Grade 12 in the Vocational & Technical (TVTC) curriculum.,583,43,2025-11-16
SUB01167,Statistics,STEM,12,Vocational & Technical (TVTC),Statistics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,375,25,2025-11-16
SUB01168,Robotics,STEM,12,Vocational & Technical (TVTC),Robotics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,490,9,2025-11-16
SUB01169,Engineering Fundamentals,STEM,12,Vocational & Technical (TVTC),Engineering Fundamentals for Grade 12 in the Vocational & Technical (TVTC) curriculum.,362,52,2025-11-16
SUB01170,Environmental Science,STEM,12,Vocational & Technical (TVTC),Environmental Science for Grade 12 in the Vocational & Technical (TVTC) curriculum.,514,34,2025-11-16
SUB01171,Earth Science,STEM,12,Vocational & Technical (TVTC),Earth Science for Grade 12 in the Vocational & Technical (TVTC) curriculum.,539,32,2025-11-16
SUB01172,Agriculture Technology,STEM,12,Vocational & Technical (TVTC),Agriculture Technology for Grade 12 in the Vocational & Technical (TVTC) curriculum.,334,5,2025-11-16
SUB01173,Technical Drawing,STEM,12,Vocational & Technical (TVTC),Technical Drawing for Grade 12 in the Vocational & Technical (TVTC) curriculum.,328,30,2025-11-16
SUB01174,Arabic,Language & Literature,12,Vocational & Technical (TVTC),Arabic for Grade 12 in the Vocational & Technical (TVTC) curriculum.,586,14,2025-11-16
SUB01175,English,Language & Literature,12,Vocational & Technical (TVTC),English for Grade 12 in the Vocational & Technical (TVTC) curriculum.,425,22,2025-11-16
SUB01176,French,Language & Literature,12,Vocational & Technical (TVTC),French for Grade 12 in the Vocational & Technical (TVTC) curriculum.,135,24,2025-11-16
SUB01177,Spanish,Language & Literature,12,Vocational & Technical (TVTC),Spanish for Grade 12 in the Vocational & Technical (TVTC) curriculum.,579,80,2025-11-16
SUB01178,German,Language & Literature,12,Vocational & Technical (TVTC),German for Grade 12 in the Vocational & Technical (TVTC) curriculum.,403,66,2025-11-16
SUB01179,Urdu,Language & Literature,12,Vocational & Technical (TVTC),Urdu for Grade 12 in the Vocational & Technical (TVTC) curriculum.,82,39,2025-11-16
SUB01180,Hindi,Language & Literature,12,Vocational & Technical (TVTC),Hindi for Grade 12 in the Vocational & Technical (TVTC) curriculum.,541,6,2025-11-16
SUB01181,Literature,Language & Literature,12,Vocational & Technical (TVTC),Literature for Grade 12 in the Vocational & Technical (TVTC) curriculum.,545,4,2025-11-16
SUB01182,Creative Writing,Language & Literature,12,Vocational & Technical (TVTC),Creative Writing for Grade 12 in the Vocational & Technical (TVTC) curriculum.,517,4,2025-11-16
SUB01183,Translation & Linguistics,Language & Literature,12,Vocational & Technical (TVTC),Translation & Linguistics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,198,58,2025-11-16
SUB01184,Islamic Arabic,Language & Literature,12,Vocational & Technical (TVTC),Islamic Arabic for Grade 12 in the Vocational & Technical (TVTC) curriculum.,313,33,2025-11-16
SUB01185,History,Humanities & Social Sciences,12,Vocational & Technical (TVTC),History for Grade 12 in the Vocational & Technical (TVTC) curriculum.,147,64,2025-11-16
SUB01186,Geography,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Geography for Grade 12 in the Vocational & Technical (TVTC) curriculum.,443,40,2025-11-16
SUB01187,Economics,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Economics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,52,49,2025-11-16
SUB01188,Civics,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Civics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,385,43,2025-11-16
SUB01189,Political Science,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Political Science for Grade 12 in the Vocational & Technical (TVTC) curriculum.,370,79,2025-11-16
SUB01190,Sociology,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Sociology for Grade 12 in the Vocational & Technical (TVTC) curriculum.,399,3,2025-11-16
SUB01191,Psychology,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Psychology for Grade 12 in the Vocational & Technical (TVTC) curriculum.,470,38,2025-11-16
SUB01192,Philosophy,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Philosophy for Grade 12 in the Vocational & Technical (TVTC) curriculum.,387,8,2025-11-16
SUB01193,Law,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Law for Grade 12 in the Vocational & Technical (TVTC) curriculum.,552,31,2025-11-16
SUB01194,Religious Studies,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Religious Studies for Grade 12 in the Vocational & Technical (TVTC) curriculum.,292,46,2025-11-16
SUB01195,Islamic Studies,Humanities & Social Sciences,12,Vocational & Technical (TVTC),Islamic Studies for Grade 12 in the Vocational & Technical (TVTC) curriculum.,353,17,2025-11-16
SUB01196,Art,Arts & Design,12,Vocational & Technical (TVTC),Art for Grade 12 in the Vocational & Technical (TVTC) curriculum.,557,20,2025-11-16
SUB01197,Music,Arts & Design,12,Vocational & Technical (TVTC),Music for Grade 12 in the Vocational & Technical (TVTC) curriculum.,153,41,2025-11-16
SUB01198,Drama,Arts & Design,12,Vocational & Technical (TVTC),Drama for Grade 12 in the Vocational & Technical (TVTC) curriculum.,215,34,2025-11-16
SUB01199,Film Studies,Arts & Design,12,Vocational & Technical (TVTC),Film Studies for Grade 12 in the Vocational & Technical (TVTC) curriculum.,481,23,2025-11-16
SUB01200,Design & Technology,Arts & Design,12,Vocational & Technical (TVTC),Design & Technology for Grade 12 in the Vocational & Technical (TVTC) curriculum.,129,7,2025-11-16
SUB01201,Architecture,Arts & Design,12,Vocational & Technical (TVTC),Architecture for Grade 12 in the Vocational & Technical (TVTC) curriculum.,59,34,2025-11-16
SUB01202,Calligraphy,Arts & Design,12,Vocational & Technical (TVTC),Calligraphy for Grade 12 in the Vocational & Technical (TVTC) curriculum.,499,31,2025-11-16
SUB01203,Fashion Design,Arts & Design,12,Vocational & Technical (TVTC),Fashion Design for Grade 12 in the Vocational & Technical (TVTC) curriculum.,467,6,2025-11-16
SUB01204,Home Economics,Arts & Design,12,Vocational & Technical (TVTC),Home Economics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,350,30,2025-11-16
SUB01205,Physical Education,Physical & Health,12,Vocational & Technical (TVTC),Physical Education for Grade 12 in the Vocational & Technical (TVTC) curriculum.,440,73,2025-11-16
SUB01206,Health Education,Physical & Health,12,Vocational & Technical (TVTC),Health Education for Grade 12 in the Vocational & Technical (TVTC) curriculum.,332,65,2025-11-16
SUB01207,Nutrition & Fitness,Physical & Health,12,Vocational & Technical (TVTC),Nutrition & Fitness for Grade 12 in the Vocational & Technical (TVTC) curriculum.,410,11,2025-11-16
SUB01208,Sports Science,Physical & Health,12,Vocational & Technical (TVTC),Sports Science for Grade 12 in the Vocational & Technical (TVTC) curriculum.,112,43,2025-11-16
SUB01209,First Aid & Public Safety,Physical & Health,12,Vocational & Technical (TVTC),First Aid & Public Safety for Grade 12 in the Vocational & Technical (TVTC) curriculum.,358,71,2025-11-16
SUB01210,Automotive Mechanics,Vocational & Technical,12,Vocational & Technical (TVTC),Automotive Mechanics for Grade 12 in the Vocational & Technical (TVTC) curriculum.,106,36,2025-11-16
SUB01211,Electrical Studies,Vocational & Technical,12,Vocational & Technical (TVTC),Electrical Studies for Grade 12 in the Vocational & Technical (TVTC) curriculum.,356,40,2025-11-16
SUB01212,Carpentry,Vocational & Technical,12,Vocational & Technical (TVTC),Carpentry for Grade 12 in the Vocational & Technical (TVTC) curriculum.,80,78,2025-11-16
SUB01213,Plumbing,Vocational & Technical,12,Vocational & Technical (TVTC),Plumbing for Grade 12 in the Vocational & Technical (TVTC) curriculum.,338,10,2025-11-16
SUB01214,Hospitality,Vocational & Technical,12,Vocational & Technical (TVTC),Hospitality for Grade 12 in the Vocational & Technical (TVTC) curriculum.,366,6,2025-11-16
SUB01215,Entrepreneurship,Vocational & Technical,12,Vocational & Technical (TVTC),Entrepreneurship for Grade 12 in the Vocational & Technical (TVTC) curriculum.,115,36,2025-11-16
SUB01216,Marketing,Vocational & Technical,12,Vocational & Technical (TVTC),Marketing for Grade 12 in the Vocational & Technical (TVTC) curriculum.,584,64,2025-11-16
SUB01217,Accounting,Vocational & Technical,12,Vocational & Technical (TVTC),Accounting for Grade 12 in the Vocational & Technical (TVTC) curriculum.,305,30,2025-11-16
SUB01218,Agriculture,Vocational & Technical,12,Vocational & Technical (TVTC),Agriculture for Grade 12 in the Vocational & Technical (TVTC) curriculum.,69,22,2025-11-16
SUB01219,Mathematics,STEM,7,IGCSE (Cambridge / Edexcel),Mathematics for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,585,10,2025-11-16
SUB01220,Advanced Mathematics,STEM,7,IGCSE (Cambridge / Edexcel),Advanced Mathematics for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,494,10,2025-11-16
SUB01221,Physics,STEM,7,IGCSE (Cambridge / Edexcel),Physics for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,549,17,2025-11-16
SUB01222,Chemistry,STEM,7,IGCSE (Cambridge / Edexcel),Chemistry for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,119,39,2025-11-16
SUB01223,Biology,STEM,7,IGCSE (Cambridge / Edexcel),Biology for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,237,36,2025-11-16
SUB01224,Computer Science,STEM,7,IGCSE (Cambridge / Edexcel),Computer Science for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,140,32,2025-11-16
SUB01225,Statistics,STEM,7,IGCSE (Cambridge / Edexcel),Statistics for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,302,27,2025-11-16
SUB01226,Robotics,STEM,7,IGCSE (Cambridge / Edexcel),Robotics for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,507,14,2025-11-16
SUB01227,Engineering Fundamentals,STEM,7,IGCSE (Cambridge / Edexcel),Engineering Fundamentals for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,497,17,2025-11-16
SUB01228,Environmental Science,STEM,7,IGCSE (Cambridge / Edexcel),Environmental Science for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,412,52,2025-11-16
SUB01229,Earth Science,STEM,7,IGCSE (Cambridge / Edexcel),Earth Science for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,454,62,2025-11-16
SUB01230,Agriculture Technology,STEM,7,IGCSE (Cambridge / Edexcel),Agriculture Technology for Grade 7 in the IGCSE (Cambridge / Edexcel) curriculum.,392,61,2025-11-16
